,apoptosis,autophagy,ferroptosis,necroptosis,pyroptosis,others
LGALS3BP,0.0,0.0,0.0,0.0,0.0,1.0
SLC3A2,0.0,0.0,0.0625,0.0,0.0,1.0
COX6A1,0.0,0.0,0.0,0.0,0.0,1.0
RPS23,0.0,0.0,0.0,0.0,0.0,1.0
TMED10,0.0,0.0,0.0,0.0,0.0,1.0
VCL,0.0,0.0,0.0,0.0,0.0,1.0
DCTN2,0.038596823279554,0.018279786807035597,0.042074311300463525,0.19359391420027555,0.07355315653999157,1.0
DEK,0.0,0.0,0.0,0.0,0.0,1.0
CALR,0.028181556860685297,0.021913015589220562,0.020613449383045768,0.1536562507665585,0.1103464456356887,1.0
RPL8,0.6408862005460789,0.060241984839393616,0.029077281379399945,0.2383490840969264,0.04651872705749615,1.0
RPL5,0.0,0.0,0.0,0.0,0.0,1.0
RERE,0.0,0.0,0.0,0.0,0.0,1.0
HSBP1,0.0,0.0,0.0,0.0,0.0,1.0
HMGN1,0.0,0.0,0.0,0.0,0.0,1.0
SEC31A,0.0,0.0,0.0,0.0,0.0,1.0
GLUD1,0.0380465838480426,0.0426446080744014,0.0288205505006525,0.16496432528232047,0.1339583921319551,1.0
MLF2,0.0,0.0,0.0,0.0,0.0,1.0
RPS20,0.0,0.0,0.0,0.0,0.0,1.0
ARPC1A,0.0,0.0,0.0,0.0,0.0,1.0
CCND2,0.032941311778273905,0.011267924033851887,0.011237063447246069,0.19444280262435257,0.13448583569458944,1.0
ATP6V0C,0.0,0.0,0.0,0.0,0.0,1.0
IMMT,0.0,0.0,0.0,0.0,0.0,1.0
SSRP1,0.0,0.0,0.0,0.0,0.0,1.0
SDCBP,0.0,0.0,0.0,0.0625,0.0,1.0
FUS,0.051870346231332576,0.028868109355100504,0.03253202372523537,0.11811091432675522,0.15869784284096916,1.0
SEPHS2,0.02886934653774066,0.010206533457934878,0.010003760560982866,0.2889185087846116,0.04446996957643466,1.0
RPL31,0.0,0.0,0.0,0.0,0.0,1.0
UBA1,0.04528303689621235,0.021271844887774952,0.0526831107336458,0.10215828646391292,0.08613410115526174,1.0
ABLIM1,0.0,0.0,0.0,0.0,0.0,1.0
ALDOA,0.0,0.0,0.0,0.0,0.0,1.0
PPIB,0.08482947537802712,0.02369206206461983,0.011136311705310868,0.17008816381367742,0.17312900022433048,1.0
SERP1,0.0,0.0,0.0,0.0,0.0,1.0
TSPAN3,0.0,0.0,0.0,0.0,0.0,1.0
ACTA2,0.041868764870512415,0.01947370747163812,0.015714088256894635,0.09287876331824177,0.16338855422915075,1.0
PPT1,0.031709739977534915,0.02963046721006355,0.018259476350175656,0.12146450331788752,0.09721103907872261,1.0
TAX1BP1,0.0625,0.0625,0.0,0.0,0.0,1.0
MDH1,0.03382481958769215,0.01809919419595364,0.0053894033196868404,0.234767363746908,0.10718544788487538,1.0
PDHA1,0.029922210619364942,0.028465880747831695,0.005026886545312958,0.08333055782124442,0.12502099062913083,1.0
GNAS,0.0,0.0,0.0,0.0,0.0,1.0
ANXA6,0.0,0.0,0.0,0.0,0.0,1.0
CD59,0.04603575863188192,0.009772162486151252,0.006223057676729623,0.3698629667018815,0.15073821784531982,1.0
SERPING1,0.031375045080538365,0.028339546539179517,0.0078040536023275394,0.26873532120542,0.07657376028403376,1.0
