,apoptosis,autophagy,ferroptosis,necroptosis,pyroptosis,others
MAPKAPK2,0,0,0,0,0,1
SCRN1,0,0,0,0,0,1
TALDO1,0,0,0,0,0,1
JUN,1,0,0,0,0,1
NQO1,0,0,0,0,0,1
SHC1,0,0,0,0,0,1
GSTO1,0,0,0,0,0,1
SQSTM1,1,1,0,1,0,1
VBP1,0,0,0,0,0,1
JUNB,0,0,0,0,0,1
ITGA3,0,0,0,0,0,1
MARS1,0,0,0,0,0,1
RRM1,0,0,0,0,0,1
DKC1,0,0,0,0,0,1
SUPT5H,0,0,0,0,0,1
PYGB,0,0,0,1,0,1
QSOX1,0,0,0,0,0,1
SUPT4H1,0,0,0,0,0,1
RCN2,0,0,0,0,0,1
CTSC,1,0,0,0,0,1
PPIF,1,0,0,0,0,1
AHSA1,0,0,0,0,0,1
RPL41,0,0,0,0,0,1
PUM2,0,0,0,0,0,1
PRCP,0,0,0,0,0,1
MYH11,0,0,0,0,0,1
USP7,0,0,0,0,0,1
PPP1R11,0,0,0,0,0,1
GRSF1,0,0,0,0,0,1
NFKBIA,1,0,0,0,0,1
G3BP1,0,0,0,0,0,1
LAMB1,0,0,0,0,0,1
TGFBI,0,0,0,0,0,1
PFDN1,0,0,0,0,0,1
IGFBP4,0,0,0,0,0,1
AAMP,0,0,0,0,0,1
TSN,0,0,0,0,0,1
SRM,0,0,0,0,0,1
CBX1,0,0,0,0,0,1
TOMM70,0,0,0,0,0,1
NCBP2,0,0,0,0,0,1
APOD,0,0,0,0,0,1
ARF5,0,0,0,0,0,1
ATP6V1F,0,0,0,0,0,1
RPA1,0,0,0,0,0,1
ZFP36,0,0,0,0,0,1
PSMA3,1,0,0,0,0,1
CTNNB1,1,0,0,0,0,1
UBL3,0,0,0,0,0,1
DUSP3,0,0,0,0,0,1
ZNHIT1,0,0,0,0,0,1
SAR1A,0,0,0,0,0,1
TRIP12,0,0,0,0,0,1
KDM5B,0,0,0,0,0,1
LAMP1,0,1,0,0,0,1
MCM3,0,0,0,0,0,1
VAMP2,0,0,0,0,0,1
CLIC4,0,0,0,0,0,1
CLSTN1,0,0,0,0,0,1
SORD,0,0,0,0,0,1
FSCN1,0,0,0,0,0,1
ID2,0,0,0,0,0,1
GOLGA4,0,0,0,0,0,1
UQCRQ,0,0,0,0,0,1
SAMM50,0,0,0,0,0,1
DCTD,0,0,0,0,0,1
ETF1,0,0,0,0,0,1
SNW1,0,0,0,0,0,1
GLB1,0,0,0,0,0,1
NME1,0,0,0,0,0,1
PODXL,0,0,0,0,0,1
FAT1,0,0,0,0,0,1
TMX4,0,0,0,0,0,1
DDX39A,0,0,0,0,0,1
SFPQ,0,0,0,0,0,1
IRAK1,0,0,0,0,0,1
TXNL1,0,0,0,0,0,1
SMC1A,0,0,0,0,0,1
NISCH,1,0,0,0,0,1
EIF3H,0,0,0,0,0,1
PPP4R1,0,0,0,0,0,1
ZC3H15,0,0,0,0,0,1
KRT18,0,0,0,0,0,1
COX7A2,0,0,0,0,0,1
INPPL1,1,0,0,0,0,1
OAT,0,0,0,0,0,1
PHB2,0,0,0,0,0,1
IFITM1,0,0,0,0,0,1
PPP1R12A,0,0,0,0,0,1
CNN2,0,0,0,0,0,1
PWP1,0,0,0,0,0,1
ICMT,0,0,0,0,0,1
ALDH9A1,0,0,0,0,0,1
AP1G2,0,0,0,0,0,1
RUVBL1,0,0,0,0,0,1
CALD1,0,0,0,0,0,1
PRDX3,0,0,0,0,0,1
MBTPS1,0,0,0,0,0,1
NBL1,0,0,0,0,0,1
SND1,0,0,0,0,0,1
DARS1,0,0,0,0,0,1
INSIG1,0,0,0,0,0,1
RRAGA,1,1,0,0,0,1
IER3,1,0,0,0,0,1
EIF2B1,0,0,0,0,0,1
CYB5B,0,0,0,0,0,1
FXR1,1,0,0,0,0,1
CLPTM1,0,0,0,0,0,1
BST2,0,0,0,0,0,1
IFNGR2,0,0,0,1,0,1
TNC,0,0,0,0,0,1
SCARB2,0,0,0,0,0,1
JAK1,0,0,0,1,0,1
UBE2L6,0,0,0,0,0,1
KRT19,0,0,0,0,0,1
PACSIN2,0,0,0,0,0,1
COPS5,0,0,0,0,0,1
CNIH1,0,0,0,0,0,1
HSPG2,0,0,0,0,0,1
ARL1,0,0,0,0,0,1
ACSL3,0,0,1,0,0,1
SMC4,0,0,0,0,0,1
TIMP1,0,0,0,0,0,1
GJA1,0,0,0,0,0,1
MARCKS,1,0,0,0,0,1
USP14,0,0,0,0,0,1
GYS1,0,0,0,0,0,1
AKAP1,1,0,0,0,0,1
HMCES,0,0,0,0,0,1
SRRT,0,0,0,0,0,1
DLG5,0,0,0,0,0,1
PMPCB,0,0,0,0,0,1
TOX4,0,0,0,0,0,1
API5,1,0,0,0,0,1
TPD52,0,0,0,0,0,1
EGR1,0,0,0,0,0,1
PNP,0,0,0,0,0,1
SRSF4,0,0,0,0,0,1
DNMT1,0,0,0,0,0,1
